RAM 1269/7846MB (lfb 1394x4MB) CPU [52%@2033,51%@2035,98%@2034,50%@2033,51%@2033,48%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 4%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36C PLL@39.5C Tboard@32C Tdiode@35.25C PMIC@100C thermal@37.8C VDD_IN 8554/8571 VDD_CPU 4048/4077 VDD_GPU 300/265 VDD_SOC 1201/1201 VDD_WIFI 38/57 VDD_DDR 1629/1631
RAM 1269/7846MB (lfb 1394x4MB) CPU [53%@2033,49%@2035,97%@2034,47%@2032,48%@2030,48%@2035] EMC_FREQ 6%@1866 GR3D_FREQ 9%@1300 APE 150 MTS fg 0% bg 1% BCPU@39C MCPU@39C GPU@36C PLL@39C Tboard@32C Tdiode@35.25C PMIC@100C thermal@38.1C VDD_IN 8554/8570 VDD_CPU 4123/4080 VDD_GPU 300/267 VDD_SOC 1201/1201 VDD_WIFI 38/55 VDD_DDR 1648/1633
RAM 1269/7846MB (lfb 1394x4MB) CPU [54%@2034,52%@2033,97%@2035,54%@2031,47%@2031,47%@2031] EMC_FREQ 6%@1866 GR3D_FREQ 5%@1300 APE 150 MTS fg 0% bg 0% BCPU@39C MCPU@39C GPU@36.5C PLL@39C Tboard@32C Tdiode@35.25C PMIC@100C thermal@38.1C VDD_IN 8592/8571 VDD_CPU 4123/4083 VDD_GPU 300/270 VDD_SOC 1201/1201 VDD_WIFI 38/54 VDD_DDR 1629/1632
RAM 1269/7846MB (lfb 1394x4MB) CPU [54%@2031,45%@2036,95%@2035,48%@2033,50%@2033,47%@2035] EMC_FREQ 6%@1866 GR3D_FREQ 10%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36C PLL@39.5C Tboard@32C Tdiode@35.25C PMIC@100C thermal@38.1C VDD_IN 8404/8561 VDD_CPU 3900/4071 VDD_GPU 300/271 VDD_SOC 1201/1201 VDD_WIFI 38/53 VDD_DDR 1629/1632
RAM 1269/7846MB (lfb 1394x4MB) CPU [55%@2034,38%@2035,97%@2034,52%@2034,48%@2035,51%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 4%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36C PLL@39.5C Tboard@32C Tdiode@35.25C PMIC@100C thermal@38.1C VDD_IN 8592/8563 VDD_CPU 3973/4065 VDD_GPU 300/273 VDD_SOC 1201/1201 VDD_WIFI 76/55 VDD_DDR 1648/1633
RAM 1269/7846MB (lfb 1394x4MB) CPU [52%@2036,48%@2035,97%@2035,50%@2036,48%@2036,50%@2031] EMC_FREQ 6%@1866 GR3D_FREQ 3%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36C PLL@39.5C Tboard@32C Tdiode@35.25C PMIC@100C thermal@37.8C VDD_IN 8592/8564 VDD_CPU 4048/4064 VDD_GPU 300/275 VDD_SOC 1201/1201 VDD_WIFI 76/56 VDD_DDR 1648/1634
RAM 1269/7846MB (lfb 1394x4MB) CPU [52%@2033,56%@2035,92%@2033,52%@2034,50%@2035,49%@2033] EMC_FREQ 6%@1866 GR3D_FREQ 5%@1300 APE 150 MTS fg 0% bg 1% BCPU@39.5C MCPU@39.5C GPU@36C PLL@39.5C Tboard@32C Tdiode@35.5C PMIC@100C thermal@38.1C VDD_IN 8554/8564 VDD_CPU 4048/4064 VDD_GPU 300/276 VDD_SOC 1201/1201 VDD_WIFI 38/55 VDD_DDR 1629/1634
RAM 1269/7846MB (lfb 1394x4MB) CPU [56%@2036,45%@2035,94%@2035,48%@2032,48%@2033,47%@2033] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 1% BCPU@39.5C MCPU@39.5C GPU@36C PLL@39.5C Tboard@32C Tdiode@35.5C PMIC@100C thermal@38.1C VDD_IN 8479/8559 VDD_CPU 3975/4059 VDD_GPU 300/277 VDD_SOC 1201/1201 VDD_WIFI 38/54 VDD_DDR 1648/1634
RAM 1269/7846MB (lfb 1394x4MB) CPU [55%@2035,37%@2035,95%@2034,51%@2033,49%@2034,50%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36C PLL@39.5C Tboard@32C Tdiode@35.25C PMIC@100C thermal@38.1C VDD_IN 8366/8550 VDD_CPU 3825/4048 VDD_GPU 300/278 VDD_SOC 1201/1201 VDD_WIFI 38/53 VDD_DDR 1648/1635
RAM 1269/7846MB (lfb 1394x4MB) CPU [53%@2035,52%@2035,96%@2034,46%@2034,49%@2034,50%@2027] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36.5C PLL@39.5C Tboard@32C Tdiode@35.5C PMIC@100C thermal@38.1C VDD_IN 8629/8554 VDD_CPU 4048/4048 VDD_GPU 300/279 VDD_SOC 1201/1201 VDD_WIFI 76/54 VDD_DDR 1629/1635
